БО;Номер послуги;МВП (підрозділ);ТМЦ;Зарплата бригади;ЄСВ_Зарплата бригади;Відрядження Добові_Бригади;Відрядження Проїзд_Бригади;Відрядження Проживання_Бригади;А-92_А/транспорт;А-95 А/транспорт;ДП А/транспорт;Газ_А/транспорт;Автомастила_А/транспорт;Зарплата водіїв;ЄСВ_зарплата водіїв;Амортизація_А/транспорт;Відрядження Добові_Водії;Відрядження Проживання_Водії;Повірка приладів обліку;Інші;Ремонт підр.спос.;Загальновиробничі витрати;АКТ/Особовий рахунок;№ договора (тільки для приєднання);Нормативні кошторисні трудовитрати бригади, люд-год. ;Нормативні кошторисні трудовитрати водіїв, люд-год. 
CK01;2300000122;;;44,48;9,79;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;42,26;00005508;;0,73;0
CK01;2300000122;;;44,48;9,79;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;42,26;00005464;;0,73;0
CK01;2300000122;;;97,29;21,4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;92,43;00005264;;1,81;0
CK01;2300000122;;;51,34;11,29;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;48,77;00005208;;0,90;0
CK01;2300000122;;;44,48;9,79;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;42,26;00005222;;0,73;0
CK01;2300000122;;;86,04;18,93;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;81,74;00005224;;1,58;0
CK01;2300000122;;;44,48;9,79;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;42,26;00005232;;0,73;0
CK01;2300000122;;;44,48;9,79;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;42,26;00005241;;0,73;0
CK01;2300000122;;;97,29;21,4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;92,43;00005269;;1,81;0
CK01;2300000122;;;44,48;9,79;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;42,26;00005327;;0,73;0
CK01;2300000122;;;86,04;18,93;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;81,74;00005332;;1,58;0
CK01;2300000122;;;52,72;11,6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;50,08;00005341;;0,93;0
CK01;2300000122;;;44,48;9,79;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;42,26;00005389;;0,73;0
CK01;2300000122;;;44,48;9,79;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;42,26;00005396;;0,73;0
CK01;2300000122;;;44,48;9,79;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;42,26;00005407;;0,73;0
CK01;2300000122;;;44,48;9,79;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;42,26;00005470;;0,73;0
CK01;2300000122;;;44,48;9,79;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;42,26;00005483;;0,73;0
CK01;2300000122;;;94,35;20,76;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;89,63;00005502;;1,75;0
CK01;2300000122;;;44,48;9,79;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;42,26;00005562;;0,73;0
CK01;2300000122;;;44,48;9,79;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;42,26;00005563;;0,73;0
CK01;2300000122;;;94,35;20,76;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;89,63;00005612;;1,75;0
CK01;2300000122;;;44,48;9,79;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;42,26;00005617;;0,73;0
